GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons Lang,org.apache.commons.lang3.text.translate,UnicodeUnescaper,0,117,2,14,0,17,2,8,0,2
Commons Lang,org.apache.commons.lang3.text.translate,OctalUnescaper,0,71,0,12,0,13,0,9,0,3
Commons Lang,org.apache.commons.lang3.text.translate,AggregateTranslator,0,37,0,4,0,8,0,4,0,2
Commons Lang,org.apache.commons.lang3.text.translate,CharSequenceTranslator,6,105,0,12,2,27,0,11,0,5
Commons Lang,org.apache.commons.lang3.text.translate,JavaUnicodeEscaper,15,34,0,0,3,5,3,3,3,3
Commons Lang,org.apache.commons.lang3.text.translate,LookupTranslator,0,109,1,13,0,25,1,8,0,2
Commons Lang,org.apache.commons.lang3.text.translate,CodePointTranslator,0,18,0,2,0,6,0,3,0,2
Commons Lang,org.apache.commons.lang3.text.translate,NumericEntityEscaper,0,76,0,10,0,20,0,12,0,7
Commons Lang,org.apache.commons.lang3.text.translate,UnicodeEscaper,15,120,0,18,3,25,2,15,2,6
Commons Lang,org.apache.commons.lang3.text.translate,EntityArrays,0,3450,0,2,0,283,0,14,0,13
Commons Lang,org.apache.commons.lang3.text.translate,NumericEntityUnescaper,2,203,5,43,0,42,5,22,0,3
Commons Lang,org.apache.commons.lang3.text.translate,NumericEntityUnescaper.OPTION,0,34,0,0,0,1,0,1,0,1
Commons Lang,org.apache.commons.lang3,LocaleUtils,22,466,4,68,2,93,4,42,0,10
Commons Lang,org.apache.commons.lang3,EnumUtils,0,366,1,25,0,64,1,25,0,13
Commons Lang,org.apache.commons.lang3,CharSet,0,300,0,34,0,59,0,26,0,9
Commons Lang,org.apache.commons.lang3,SerializationUtils.ClassLoaderAwareObjectInputStream,8,77,1,1,2,21,1,3,0,3
Commons Lang,org.apache.commons.lang3,StringEscapeUtils.CsvEscaper,5,61,1,3,1,12,1,4,0,3
Commons Lang,org.apache.commons.lang3,RandomStringUtils,13,267,2,54,5,61,3,38,1,12
Commons Lang,org.apache.commons.lang3,Range,23,414,6,72,2,92,6,57,0,24
Commons Lang,org.apache.commons.lang3,Conversion,191,2602,82,374,58,505,73,229,1,43
Commons Lang,org.apache.commons.lang3,AnnotationUtils.new ToStringStyle() {...},6,77,4,4,1,22,4,3,0,3
Commons Lang,org.apache.commons.lang3,BitField,0,150,0,14,0,27,0,25,0,18
Commons Lang,org.apache.commons.lang3,CharUtils,0,297,0,74,0,58,0,61,0,24
Commons Lang,org.apache.commons.lang3,CharRange,0,238,1,47,0,44,1,37,0,14
Commons Lang,org.apache.commons.lang3,AnnotationUtils,48,455,9,83,18,94,10,47,1,10
Commons Lang,org.apache.commons.lang3,LocaleUtils.SyncAvoid,3,16,0,0,1,4,1,1,1,1
Commons Lang,org.apache.commons.lang3,CharRange.CharacterIterator,4,126,0,18,1,35,1,13,1,4
Commons Lang,org.apache.commons.lang3,ClassUtils,53,1125,14,216,14,283,17,139,3,38
Commons Lang,org.apache.commons.lang3,JavaVersion,0,195,0,20,0,45,0,16,0,6
Commons Lang,org.apache.commons.lang3,BooleanUtils,0,799,10,246,0,206,10,160,0,40
Commons Lang,org.apache.commons.lang3,Validate,22,569,10,76,6,110,10,72,2,37
Commons Lang,org.apache.commons.lang3,ArrayUtils,2,5145,12,1052,1,1266,12,744,0,224
Commons Lang,org.apache.commons.lang3,ObjectUtils,31,583,1,87,6,141,1,78,0,35
Commons Lang,org.apache.commons.lang3,CharEncoding,0,13,0,2,0,6,0,3,0,2
Commons Lang,org.apache.commons.lang3,Range.ComparableComparator,0,19,0,0,0,3,0,2,0,2
Commons Lang,org.apache.commons.lang3,StringEscapeUtils.CsvUnescaper,5,82,2,6,1,14,2,5,0,3
Commons Lang,org.apache.commons.lang3,SerializationException,0,16,0,0,0,8,0,4,0,4
Commons Lang,org.apache.commons.lang3,CharSequenceUtils,42,142,12,26,12,36,9,18,0,8
Commons Lang,org.apache.commons.lang3,ObjectUtils.Null,0,5,0,0,0,3,0,2,0,2
Commons Lang,org.apache.commons.lang3,StringEscapeUtils,8,503,0,0,2,86,2,14,2,14
Commons Lang,org.apache.commons.lang3,CharSetUtils,0,226,1,47,0,53,1,31,0,8
Commons Lang,org.apache.commons.lang3,SystemUtils,32,343,16,24,6,97,17,18,2,13
Commons Lang,org.apache.commons.lang3,StringUtils,64,5417,37,1204,24,1356,38,770,1,186
Commons Lang,org.apache.commons.lang3,SerializationUtils,29,130,1,13,7,43,1,12,0,6
Commons Lang,org.apache.commons.lang3.reflect,TypeUtils,876,512,192,90,190,118,125,44,8,20
Commons Lang,org.apache.commons.lang3.reflect,MemberUtils,14,205,8,36,3,42,8,23,1,8
Commons Lang,org.apache.commons.lang3.reflect,FieldUtils,45,567,7,65,8,135,8,59,1,30
Commons Lang,org.apache.commons.lang3.reflect,ConstructorUtils,23,142,8,22,8,42,9,14,1,7
Commons Lang,org.apache.commons.lang3.reflect,MethodUtils,21,362,6,60,7,110,5,42,0,14
Commons Lang,org.apache.commons.lang3.event,EventUtils,26,80,0,0,4,13,0,3,0,3
Commons Lang,org.apache.commons.lang3.event,EventListenerSupport.ProxyInvocationHandler,0,26,0,2,0,4,0,3,0,2
Commons Lang,org.apache.commons.lang3.event,EventListenerSupport,0,185,0,2,0,44,0,15,0,14
Commons Lang,org.apache.commons.lang3.event,EventUtils.EventBindingInvocationHandler,0,60,0,8,0,11,0,7,0,3
Commons Lang,org.apache.commons.lang3.math,IEEE754rUtils,0,223,0,40,0,57,0,33,0,13
Commons Lang,org.apache.commons.lang3.math,NumberUtils,40,1443,43,295,7,378,37,182,0,49
Commons Lang,org.apache.commons.lang3.math,Fraction,32,1274,16,180,6,287,14,119,0,35
Commons Lang,org.apache.commons.lang3.concurrent,ConstantInitializer,0,57,0,6,0,14,0,9,0,6
